Razão,Rua,Numero,Latitude,Longitude
STIEFELMANN INCORPORADORA LTDA,ENOTRIA,330,-23.4769349,-46.6031878
MRV ENGENHARIA E PARTICIPACOES SA,ANDRE DE ALMEIDA,SN,-23.5919753,-46.4858584
REINVEST EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,DO AROUCHE,360,-23.5412112,-46.6458319
EXTO ECU EMPREENDIMENTOS IMOBILIARIOS SPE LTDA.,CUEVAS,100,-23.5231822,-46.7122817
GRAZIANI & ALMEIDA CONSTRUCOES E INCORPORACOES LTDA,ITALINA,255,-23.5406333,-46.4508962
INTER CONSTRUTORA E INCORPORADORA S.A,BRIG FARIA LIMA,3015,-23.5831718,-46.683338
TENDA NEGOCIOS IMOBILIARIOS S.A,COMENDADOR J.DE MATOS,S/N,-23.4653191,-46.7526619
TENDA NEGOCIOS IMOBILIARIOS S.A,DOS MIRANDAS,315,-23.617083,-46.75282560000001
CONX MORAIS EMPREENDIMENTOS IMOBILIARIOS SPE LTDA.,DAS GRUMIXAMAS,334,-23.6484471,-46.643899
STAN G LARA EMPREENDIMENTO SPE LTDA,GABRIEL DE LARA,545,-23.6161121,-46.6903467
CYRELA MAGIKLZ CAMPINAS 01 EMPREENDIMENTOS IMOBILIARIOS LTDA,GIOVANNI GRONCHI,6899,-23.6406324,-46.7354587
RAVENNA EMPREENDIMENTOS IMOBILIARIOS LTDA,BENTO BRANCO DE ANDRADE FILHO,477,-23.6488494,-46.7218251
IDEA EMPREENDIMENTOS SPE 23 LTDA.,CARDEAL ARCOVERDE,440,-23.5550204,-46.67747319999999
SP BOLSA IX EMPREENDIMENTOS IMOBILIARIOS LTDA.,LOPES NETO,303,-23.5879899,-46.6830152
TAVITEC EMPREENDIMENTOS E PARTICIPACOES LTDA,AGAMI,333,-23.6002017,-46.660218
VALE DO PARAIBA INCORPORADORA LTDA.,JOAO DE LACERDA SOARES,31,-23.6244529,-46.6867659
TGSP-28 SPE EMPREENDIMENTOS IMOBILIARIOS LTDA.,FRANCISCO CORAZZA,100,-23.5103851,-46.698785
LIVING CACOAL EMPREENDIMENTOS IMOBILIARIOS LTDA,VEREADOR JOAO DE LUCA,1750,-23.6576265,-46.6646022
EXTO BRA EMPREENDIMENTOS IMOBILIARIOS LTDA,ECA DE QUEIROZ,219,-23.5789346,-46.6429208
VL. BARROS EMPREENDIMENTOS IMOBILIARIOS LTDA,ALCACER,149,-23.5256944,-46.5146565
PLANO CAMBUI EMPREENDIMENTOS IMOBILIARIOS LTDA,ALBERTO LION,S/N,-23.5633713,-46.6121633
MAC 69 EMPREENDIMENTOS IMOBILIARIOS LTDA,CONDE DE IRAJA,233,-23.5915323,-46.63303800000001
M.A.R. SEVILHA DESENVOLVIMENTO IMOBILIARIO SPE LTDA.,AMANDAU,77,-23.488998,-46.6087735
DIALOGO S QUATRO CAVOUR EMPREENDIMENTOS IMOBILIARIOS LTDA,CAVOUR,612,-23.5825099,-46.5787756
SEI REPUBLICA II EMPREENDIMENTO IMOBILIARIO SPE LTDA.,DA REPUBLICA,365,-23.5426952,-46.6437984
PORTE MONTE SERRAT EMPREENDIMENTO IMOBILIARIO SPE LTDA.,ANTONIO CAMARDO,756,-23.5489708,-46.5603715
TPA BELA VISTA PAULICEIA - EMPREENDIMENTO IMOBILIARIO SPE LTDA.,FRANCISCA MIQUELINA,277,-23.5543672,-46.6397919
PROJETO IMOBILIARIO E 43 SPE LTDA.,CANDIRUACU,S/N,-23.4714388,-46.5967799
AR 14 EMPREENDIMENTOS IMOBILIARIOS SPE LIMITADA,DOUTOR TOMAS ALVES,51,-23.5870476,-46.6394339
RESIDENCIAL SAO MATEUS SPE LTDA,BENTO GUELFI,S/N,-23.6065625,-46.4276468
VDJ EMPREENDIMENTO IMOBILIARIO SPE LTDA,VEREADOR JOSE DINIZ,3789,-23.6153744,-46.673407
